5877,9349
6226,3545
9972,6806
8584,4150
6856,9360
3259,9716
7372,8177
5801,1258
7909,686
4124,7581
8746,5060
3327,8383
505,8940
424,1858
680,5082
1173,7792
5407,9358
2929,3090
6236,7672
9861,8562
2719,252
2343,2343
1428,5246
5078,8150
8364,375
401,1564
1027,9254
3429,3611
4237,5304
5015,838
8064,9107
7822,8108
1821,5849
1386,6923
924,924
7601,9916
4902,8905
2564,523
5712,8256
838,9789
761,7476
4209,6080
8552,8861
8073,8882
114,2723
1479,5207
5261,389
5009,5009
2197,3789
8980,6871
3021,7252
3913,5741
1410,1410
7490,3395
6415,7987
872,1861
5099,6461
740,6459
5803,2204
3237,7771
894,8189
8729,2980
2365,3408
3907,6110
6302,425
1687,4961
1248,1188
4782,9084
7458,2196
6919,5712
8507,6355
6041,9101
7516,1876
3839,6848
5401,3690
3753,9907
7517,5780
4373,3585
1905,904
8578,5689
709,7460
6546,7737
45,8858
8491,4841
3698,3374
9108,9108
3579,4420
2708,6389
6823,2540
3087,3087
1433,3434
5525,1503
442,7184
5880,5220
2901,2901
5525,7616
9670,3557
4231,1003
5157,6797
9939,9939
4365,5289
9105,4277
3279,3110
4162,1521
4037,9171
3416,4170
1034,5248
4318,4579
7890,8724
3313,1112
1541,4618
5473,1303
7515,294
8775,6373
3748,3748
6759,2721
6878,2589
7324,9640
348,8743
3202,7880
8913,7038
4753,6228
5256,3541
8178,642
3379,3379
8262,8262
9265,4289
4194,4175
8090,8614
4104,9958
8297,5933
2609,5285
6846,7051
6359,1964
2953,8919
3853,2477
7139,8525
7311,3894
3,4262
5547,7208
4410,9504
9915,7715
4430,2035
1129,7324
9194,1141
7974,7413
8078,5607
3166,3955
5692,5366
3645,4365
1552,6199
4666,3657
2291,2388
183,7827
8804,5993
3196,4461
9444,9444
7582,6558
5294,7425
5467,9347
8629,857
7386,686
440,7229
8707,8707
3308,2975
4961,9697
2569,3429
9586,9586
9202,9202
2542,2664
7807,5542
6419,2287
1661,304
3496,241
8532,1575
5206,9695
8799,4061
8451,8295
6850,7464
8452,2682
1638,1638
8822,4009
2674,7170
9121,8606
8452,2200
6929,4807
1723,4753
9916,8497
7440,7828
6997,9494
8537,3702
7941,5258
3738,130
8977,4801
3733,8268
8110,6995
5056,7931
7362,5490
6607,3307
4596,4596
1539,1539
3411,1134
1037,9018
8051,4087
1668,5333
5808,9092
7883,9291
3320,1574
232,2967
6670,5581
4405,1657
5924,610
7738,662
7749,9312
2397,8845
5781,1896
6185,6312
4175,4175
5324,547
9297,575
4757,7465
2836,65
3519,436
1822,272
5691,2108
3188,4547
9981,1120
4746,4438
2815,5249
1807,2369
8203,8367
6329,8537
9546,3122
8259,1857
847,6583
4113,4113
1039,1039
1582,5874
1607,3192
5605,8148
9450,7118
9708,2039
6740,8069
8399,9935
2647,5201
2038,3494
6297,7699
4267,9419
8168,978
1623,9223
1655,1655
3196,1096
6753,920
6875,593
